1,Zandan Kule,Bitola,Bitola
2,KPD Prilep,Prilep,Prilep
3,Zatvor Kumanovo,Kumanovo,Kumanovo
4,Kaznena popravna ustanova,Skopje,Shuto Orizari
5,Idrizovo Correction Facility,Skopje,Gazi baba
6,Shesti,Shtip,Shtip
